,Estimate,Std. Error,t value,Pr(>|t|)
eq1_Constante,1.3575117223533756e-01,2.4579994481646814e-03,5.5228316807271504e+01,0.0000000000000000e+00
eq1_y^1,-5.2662459904940180e-02,7.2150979498825296e-03,-7.2989251526096863e+00,2.9576341376014170e-13
eq1_y^2,-3.1053526737577827e-02,9.6351430615723536e-03,-3.2229440226402013e+00,1.2698582435271000e-03
eq1_y^3,-2.3115097822816934e-02,1.2605045627472748e-02,-1.8337972353259464e+00,6.6691804881875427e-02
eq1_y^4,2.2666365771608070e-02,7.0770033635361562e-03,3.2028196974435801e+00,1.3619970515725832e-03
eq1_y^5,1.6987324262807621e-02,6.5182523095287850e-03,2.6061164030079809e+00,9.1610555887737810e-03
eq1_age,1.2716923609583399e-03,1.5745209186581512e-04,8.0766939701386118e+00,6.6613381477509392e-16
eq1_hsex,-1.2000082258668577e-02,1.9802366334137913e-03,-6.0599233728856250e+00,1.3744689830730294e-09
eq1_carown,1.7550143665764073e-02,2.2625997006813729e-03,7.7566277678189905e+00,8.8817841970012523e-15
eq1_time,-4.3573192325914036e-05,3.9132477895720659e-04,-1.1134789992605858e-01,9.1134105272484134e-01
eq1_tran,8.3934418347462285e-03,3.0673771253907772e-03,2.7363579669640141e+00,6.2151854442515919e-03
eq1_y*age,-6.2646577082769289e-04,2.0788835854008709e-04,-3.0134721117964456e+00,2.5844454186774168e-03
eq1_y*hsex,-1.6710415701400490e-03,4.4802386669208468e-03,-3.7298048036546078e-01,7.0916502304518514e-01
eq1_y*carown,-1.4648027755979755e-02,5.9175656742714239e-03,-2.4753468845587818e+00,1.3314948314299802e-02
eq1_y*time,1.3987429619789775e-03,8.7990473844687118e-04,1.5896527213251663e+00,1.1192130864239180e-01
eq1_y*tran,-1.9275343525026113e-02,7.4635756880224247e-03,-2.5825883371102218e+00,9.8098773123975747e-03
eq1_pfoodh,-1.5457636873132240e-03,2.2025108578684689e-02,-7.0181887267024540e-02,9.4404925477021395e-01
eq1_pfoodr,2.3076556409904206e-02,1.8661272426893971e-02,1.2366014429244965e+00,2.1624261956470447e-01
eq1_prent,1.0803434440247072e-02,1.1990474808425000e-02,9.0100138758943349e-01,3.6759321208700202e-01
eq1_poper,-2.5329910933686368e-02,1.3333129555163232e-02,-1.8997723549365348e+00,5.7470457573874034e-02
eq1_pfurn,6.6030023555362555e-02,1.8426370243790756e-02,3.5834525564042154e+00,3.3950039804131471e-04
eq1_pcloth,3.0522533553381977e-03,1.3622322368097548e-02,2.2406262844625854e-01,8.2270975906878530e-01
eq1_ptranop,-2.3154708356276310e-02,1.0561281075804988e-02,-2.1924147449613676e+00,2.8355530527496953e-02
eq1_precr,-4.3843027399115983e-02,1.7323232127099436e-02,-2.5308803274956153e+00,1.1381609794083758e-02
eq1_y*pfoodh,-1.6116381872316829e-02,5.0867916909351052e-02,-3.1682802936548310e-01,7.5137581074627713e-01
eq1_y*pfoodr,2.1179362098154297e-03,4.2876081218243711e-02,4.9396683410382454e-02,9.6060342716496128e-01
eq1_y*prent,-3.7868171415977404e-02,2.7963352003442007e-02,-1.3542071569716039e+00,1.7567823613562239e-01
eq1_y*poper,-5.0529878829105916e-02,3.1891613236321115e-02,-1.5844252987352119e+00,1.1310517339151005e-01
eq1_y*pfurn,5.8525524264734334e-02,4.2052704628845854e-02,1.3917184347897811e+00,1.6401570951551081e-01
eq1_y*pcloth,4.6342506296625181e-02,3.1999887378948516e-02,1.4482084186056265e+00,1.4756690584666798e-01
eq1_y*ptranop,3.2764947305114103e-02,2.4782141680002454e-02,1.3221192796082368e+00,1.8613628131842685e-01
eq1_y*precr,-5.8451446290531527e-02,4.0008478304185927e-02,-1.4609764921855573e+00,1.4403004514037177e-01
eq1_age*pfoodh,2.8624266762699050e-03,1.8388150680107235e-03,1.5566691431164692e+00,1.1955726948827294e-01
eq1_age*pfoodr,-2.7254104825831945e-03,1.2778745913970780e-03,-2.1327683490471085e+00,3.2950034376211246e-02
eq1_age*prent,2.7675370045539185e-05,7.4846212003580549e-04,3.6976313569770547e-02,9.7050408336309779e-01
eq1_age*poper,-1.0244623615454148e-03,1.1259037422677494e-03,-9.0990226169955213e-01,3.6287974724415051e-01
eq1_age*pfurn,-2.0109532425771396e-03,1.1531363322850460e-03,-1.7438989530338103e+00,8.1184684093497550e-02
eq1_age*pcloth,2.2139868730509170e-03,1.1159371631830031e-03,1.9839709135019137e+00,4.7266164853350778e-02
eq1_age*ptranop,7.5436264507708470e-04,7.3300733292551423e-04,1.0291338315352714e+00,3.0342324881242533e-01
eq1_age*precr,-8.4964077908030963e-04,1.2025976832948173e-03,-7.0650458659832616e-01,4.7987867249467198e-01
