foodh,foodr,rent,oper,furn,cloth,tranop,recr
3.3316424740267725e-01,-2.9231008505889913e-03,2.7331193708003515e-01,1.1715131347200178e-01,2.0957693912498843e-02,8.3487768401559637e-02,6.7652336019815490e-02,7.2043856169432208e-02
3.1102688975885329e-01,1.2764041052910721e-02,3.1781952854294460e-01,8.4572664739224868e-02,2.9356595994977176e-02,8.3505388477672457e-02,4.1961682046744789e-02,8.5950590584225786e-02
2.2280416270310410e-01,6.3036422861238714e-02,3.8914666575869267e-01,4.0756349416859732e-02,3.2579842068020892e-02,1.0027537777072199e-01,6.4706294464430769e-02,6.2042780027809052e-02
2.3611307444091495e-01,6.9679983033421988e-02,3.5827309534053742e-01,3.8446246971656890e-02,2.7888376265250418e-02,1.0906888810578291e-01,6.9442305829305759e-02,6.2628007245748324e-02
1.2797928005204984e-01,1.0449114186765099e-01,2.4945006225629412e-01,3.6154758050627164e-02,5.2395135743000518e-02,1.3335772825269937e-01,1.8996862218281968e-01,8.1224859321676224e-02
2.2991037023403327e-01,7.0406510461601651e-02,3.7329113169382283e-01,3.3812078506521979e-02,3.2483296641336278e-02,1.0058070310708510e-01,5.9698204669764901e-02,7.4369171203361520e-02
2.2389150284037826e-01,6.0836138844213308e-02,2.1328000262461644e-01,4.8790935405841694e-02,2.2143928987572222e-02,1.1800865101072730e-01,2.2453024239460442e-01,5.5890338332651682e-02
1.2552524903089721e-01,1.1367824663033843e-01,2.2853215672709473e-01,5.9396361770432851e-02,8.6227914443342712e-02,1.5304458924468770e-01,6.3042935454736201e-02,1.3991633678511878e-01
2.0242831677622827e-01,4.7193947239975165e-02,3.7108195226160529e-01,6.3674948536625878e-02,3.8462567431506202e-02,1.2288595260894254e-01,6.5845114088999721e-02,5.0299700698614877e-02
1.8871714485055302e-01,5.2557263825876992e-02,3.6123442347089130e-01,5.8207213823384438e-02,5.0821695633604988e-02,1.3224928042923959e-01,5.4955501703573009e-02,5.9663111658320195e-02
1.6223325512146508e-01,6.4941355169474010e-02,3.2977925059025015e-01,5.9735350103900894e-02,6.1127248939615540e-02,1.5248987455034499e-01,6.3391629471001076e-02,6.1295789385193748e-02
1.9425203794159246e-01,2.4180839012939374e-02,3.3702666555760147e-01,5.5349769382295681e-02,4.1919542672576506e-02,1.0559132764043176e-01,1.5246891236702281e-01,5.2980118840713117e-02
1.6645990166548438e-01,4.4272701125393846e-02,3.1801642331922580e-01,5.0202831121018435e-02,4.3778685419100079e-02,1.2380837921683821e-01,1.6515422405362618e-01,4.9802522461333820e-02
1.3252046953080054e-01,7.9229067717196400e-02,2.8727887536017749e-01,6.1605674311800813e-02,7.2158312682499073e-02,1.7877950708722434e-01,7.8563237914026265e-02,6.2025706622500607e-02
1.2899918210607136e-01,6.3802161550968212e-02,2.7809114319543377e-01,5.0163254902998652e-02,6.1812137352930202e-02,1.5476705863943796e-01,1.6301936612700429e-01,5.5731041932233910e-02
1.1017057989266769e-01,7.3307224420804243e-02,2.5139589157405756e-01,5.0594842768294603e-02,6.9577302784211884e-02,1.7294055996353147e-01,1.7015044076277830e-01,5.6702408660493364e-02
1.1753739710206440e-01,6.9398991224211656e-02,2.6433439993595764e-01,5.0769957370260167e-02,6.4628831366130957e-02,1.6464547644948624e-01,1.7097506652707037e-01,5.3592595717966707e-02
1.9116924412239417e-01,8.2034780339294372e-02,3.3930420006720541e-01,4.7911954084091060e-02,4.8005181647955447e-02,1.1352317893750651e-01,7.1065490661833722e-02,8.0384153866230823e-02
1.7058363699736806e-01,5.9146849068303642e-02,3.5895334648267668e-01,6.1707453818435030e-02,4.7709389845665813e-02,1.4123141691697277e-01,7.3490765418336823e-02,4.5999778552551850e-02
